DESCRIPTION,CATEGORY_2,CATEGORY_1
"""I haven’t received a password reset link. Kindly assist me in recovering my account.""",Password Reset Query,Query
"""Dear Team, I cannot access my email notifications from the online portal. Please assist in fixing this issue.""",Email Notifications,Service Request
"""I am not receiving email notifications for my recent transactions. Kindly check and assist.""",Email Notifications,Service Request
"""Dear Team, I am not getting email alerts for my account activities. Kindly help with this.""",Email Notifications,Service Request
"""I’ve tried to update my phone number in the system but haven’t been successful. Kindly assist with the update process.""",Contact Info Query,Service Request
"""I am unable to update my phone number in the system. Kindly assist in making the necessary changes.""",Contact Info Query,Service Request
"""I’m having trouble updating my phone number on my account. Kindly assist in resolving this.""",Contact Info Query,Service Request
"""Dear Team, I am unable to submit my expense report online. Kindly help me resolve the issue.""",Expense Report Issue,Service Request
"""I cannot upload my expense report to the system. Kindly assist with resolving the issue.""",Expense Report Issue,Service Request
"""I cannot access my expense report submission page. Kindly check and resolve the issue.""",Expense Report Issue,Service Request
"""I’ve been charged an incorrect fee on my account. Kindly assist in resolving this issue and refunding the charge.""",Billing Query,Service Request
"""I noticed an extra charge on my statement. Kindly help me resolve this billing issue.""",Billing Query,Service Request
"""Dear Team, there is an incorrect fee on my account statement. Kindly investigate and adjust it.""",Billing Query,Service Request
"""Dear Team, my online banking account is not displaying the correct details after the recent update. Please help resolve the issue.""",Account Details Query,Service Request
"""I cannot see the correct details of my account after the update. Kindly assist in fixing this issue.""",Account Details Query,Service Request
"""My account details are not reflecting correctly in the online banking system. Kindly help fix this.""",Account Details Query,Service Request
"""I cannot access the loan application form online. Kindly guide me in accessing the form.""",Loan Form Access Query,Service Request
"""Dear Team, I am unable to open the loan application page on the website. Kindly assist.""",Loan Form Access Query,Service Request
"""I am having trouble accessing the loan form online. Kindly provide a solution to resolve this.""",Loan Form Access Query,Service Request
"""Dear Team, the transaction history for my credit card is not displaying correctly. Kindly assist in retrieving the correct details.""",Credit Card Query,Service Request
"""I’ve tried to access my credit card transaction history but it shows no data. Kindly assist in fixing this issue.""",Credit Card Query,Service Request
"""My credit card transactions are not showing up in the system. Please investigate and provide a solution.""",Credit Card Query,Service Request
"""I was unable to access my fixed deposit details online. Kindly assist in retrieving my FD information.""",Fixed Deposit Query,Service Request
"""Dear Team, I am unable to access my fixed deposit details after the update. Kindly assist in resolving this.""",Fixed Deposit Query,Service Request
"""The interest rate on my fixed deposit is not reflecting correctly in the system. Kindly assist in updating the correct rate.""",Fixed Deposit Query,Service Request
"""I’ve been charged an incorrect fee for my savings account maintenance. Kindly help me with the refund process.""",Savings A/c Query,Service Request
"""Dear Team, I’ve noticed an incorrect fee on my savings account. Kindly investigate and adjust the fee accordingly.""",Savings A/c Query,Service Request
"""I was charged an unnecessary fee on my savings account. Kindly check and reverse the charge.""",Savings A/c Query,Service Request
"""The transaction I tried to complete failed. Kindly investigate and let me know why this happened.""",Payment Failure Query,Service Request
"""I am unable to make a payment due to an unknown error. Please assist in resolving this issue.""",Payment Failure Query,Service Request
"""Dear Team, my attempt to process a payment was unsuccessful. Kindly investigate and help me resolve it.""",Payment Failure Query,Service Request
"""The system is not displaying my account balance correctly after a deposit. Kindly assist in updating my balance.""",Balance Update Query,Service Request
"""I made a deposit earlier, but my balance still reflects the old amount. Kindly assist in updating it.""",Balance Update Query,Service Request
"""Dear Team, the updated balance after my recent deposit is not visible. Kindly help with this.""",Balance Update Query,Service Request
"""I am unable to log in to my account after the latest update. Kindly assist with resetting my login credentials.""",Login Issues,Service Request
"""Dear Team, I’m unable to access my online account after the update. Kindly help with unlocking it.""",Login Issues,Service Request
"""The login page is not responding after the update. Kindly assist in resolving this issue.""",Login Issues,Service Request
"""I am unable to delete old beneficiary details from my account. Kindly assist in removing these details.""",Beneficiary Update Issue,Service Request
"""Dear Team, I cannot remove an old beneficiary from the system. Kindly assist me in deleting this beneficiary.""",Beneficiary Update Issue,Service Request
"""I’m unable to delete an outdated beneficiary from my account. Kindly assist in resolving this issue.""",Beneficiary Update Issue,Service Request
"""I’m unable to update my mobile number in the system. Kindly guide me on how to make the change.""",Contact Info Query,Service Request
"""I cannot change my mobile number on the system. Kindly assist me in making the necessary updates.""",Contact Info Query,Service Request
"""Dear Team, I am facing issues with updating my mobile number in the system. Kindly assist me in completing the update.""",Contact Info Query,Service Request
"""I cannot submit my online loan application due to an error. Kindly assist in resolving this issue.""",Loan Application Query,Service Request
"""Dear Team, I cannot access the loan application form online. Kindly help in accessing the form.""",Loan Application Query,Service Request
"""I am having issues completing the loan application process. Kindly guide me on how to resolve this.""",Loan Application Query,Service Request
"""The bank’s website is showing incorrect information for my account. Kindly assist in resolving this issue.""",Website Access Issue,Service Request
"""Dear Team, my account details are not being displayed correctly on the website. Kindly investigate and provide a fix.""",Website Access Issue,Service Request
"""The website is showing outdated details for my account. Kindly help in updating it.""",Website Access Issue,Service Request
"""I cannot see my recent credit card transactions on the online portal. Kindly assist in displaying them.""",Credit Card Query,Service Request
"""Dear Team, I cannot access my credit card transactions on the app. Kindly assist in retrieving them.""",Credit Card Query,Service Request
"""The credit card details in the system are not up-to-date. Kindly assist in reflecting the correct information.""",Credit Card Query,Service Request
"""Dear Team, I am unable to update my bank account details for a transfer. Kindly help me with updating the account information.""",Fund Transfer Query,Service Request
"""I cannot update the account details for my fund transfer. Kindly assist with this.""",Fund Transfer Query,Service Request
"""Dear Team, I’m unable to change the beneficiary details for my fund transfer. Kindly assist me with this.""",Fund Transfer Query,Service Request
"""I am unable to submit my expense report through the app. Kindly guide me in resolving this issue.""",Expense Report Issue,Service Request
"""Dear Team, I cannot upload my receipts for the expense report. Kindly assist in submitting the report.""",Expense Report Issue,Service Request
"""I cannot add new expenses to my report. Kindly help me in resolving this.""",Expense Report Issue,Service Request
"""The loan repayment details in my account are incorrect. Kindly assist in updating the payment details.""",Loan Payment Query,Service Request
"""Dear Team, I noticed incorrect information about my loan repayment in the system. Kindly help with the correction.""",Loan Payment Query,Service Request
"""I cannot find the loan repayment details on my account. Kindly assist in providing the correct information.""",Loan Payment Query,Service Request
"""I received an SMS about a suspicious login attempt, but I did not initiate any login. Kindly investigate this issue.""",Security Alert Query,Security Request
"""Dear Team, I received a security alert for my account. Kindly investigate and confirm if everything is secure.""",Security Alert Query,Security Request
"""I’ve received an alert about unauthorized access to my account. Kindly help with securing my account.""",Security Alert Query,Security Request
"""Dear Team, I am unable to access my statement download link. Kindly assist in providing a working link.""",Statement Download Issue,Service Request
"""I tried to download my bank statement, but the download link is broken. Kindly assist with fixing this issue.""",Statement Download Issue,Service Request
"""Dear Team, I cannot find my bank statement in the app. Kindly help me retrieve it.""",Statement Download Issue,Service Request
"""Dear Team, I have tried to update my mobile banking PIN but I am getting an error. Kindly assist in resolving this.""",PIN Reset Query,Service Request
"""I’m unable to reset my PIN for mobile banking. Kindly assist in guiding me through the process.""",PIN Reset Query,Service Request
"""Dear Team, the mobile banking PIN reset process is failing. Kindly assist me with resetting my PIN.""",PIN Reset Query,Service Request
